model,test_KL_mean,test_KL_std,test_JSD_mean,test_JSD_std,test_cosine_mean,test_cosine_std,pearson_entropy_corr,spearman_entropy_corr,precision_at_100,precision_at_200,precision_at_500
ResNet18_KL,0.6247321,1.1438779,0.12212548,0.17925735,0.8295403,0.30436903,0.28653553,0.3034957587371487,0.12,0.205,0.42
ResNet18_JSD,1.1591672,2.0568438,0.15897931,0.225678,0.76475006,0.37013048,0.22909513,0.256050486171585,0.08,0.2,0.386
ResNet18_Custom_KL_Entropy,0.804358,1.4308013,0.13702467,0.2004338,0.8004396,0.33656898,0.21035628,0.2772213024207243,0.05,0.17,0.352
